saving,actual_price,diff,make,odometer,year,model,body_style,kbb_price,state,city,ext_color,int_color,car_url,drive_line,transmission,city_fuel_economy,engine,doors,vin,zipCode,driveTrain,classification,trim,uuid,account_id
0.0,19887,0,Buick,11055,2020,Encore,SUV,19887,NY,Massapequa Park,Summit White,BLA,https://www.hertzcarsales.com/certified/Buick/2020-Buick-Encore-82299ddf0a0e0adf3464542780fed5be.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,KL4CJESBXLB026274,11762,All-wheel Drive,primary,Preferred,82299ddf0a0e0adf3464542780fed5be,hertzcarsalesmassapequa
0.0,19987,0,Nissan,15749,2020,Rogue,SUV,19987,NY,Massapequa Park,Gun Metallic,Charcoal,https://www.hertzcarsales.com/certified/Nissan/2020-Nissan-Rogue-9cdeb51a0a0e0a6b1353a935846d30a1.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,KNMAT2MV1LP516165,11762,All-wheel Drive,primary,S,9cdeb51a0a0e0a6b1353a935846d30a1,hertzcarsalesmassapequa
0.0,20687,0,Toyota,31763,2019,RAV4,SUV,20687,NY,Massapequa Park,Super White,BLA,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-RAV4-76a4f36e0a0d0c14242dfa5217cfd3c1.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,2T3F1RFV8KW028397,11762,All-wheel Drive,primary,LE,76a4f36e0a0d0c14242dfa5217cfd3c1,hertzcarsalesmassapequa
0.0,20887,0,Buick,7248,2020,Encore,SUV,20887,NY,Massapequa Park,null,null,https://www.hertzcarsales.com/certified/Buick/2020-Buick-Encore-76a500a70a0e0a1774ba5a3b961e10d6.htm,All-wheel Drive,Automatic,24,I-4 cyl,4,KL4CJGSB5LB067312,11762,All-wheel Drive,primary,Essence,76a500a70a0e0a1774ba5a3b961e10d6,hertzcarsalesmassapequa
0.0,20987,0,Volkswagen,29433,2019,Tiguan,SUV,20987,NY,Massapequa Park,White,Pure,BLA,https://www.hertzcarsales.com/certified/Volkswagen/2019-Volkswagen-Tiguan-9ffac9130a0e0ae8271e14d0c1980679.htm,All-wheel Drive,Automatic,21,I-4 cyl,4,3VV2B7AX4KM079214,11762,All-wheel Drive,primary,2.0T SE,9ffac9130a0e0ae8271e14d0c1980679,hertzcarsalesmassapequa
0.0,22987,0,Toyota,34330,2019,RAV4,SUV,22987,NY,Massapequa Park,Gray,Magnetic,BLA,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-RAV4-95a947090a0d0cc75fcaba494ebd04b8.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,JTMP1RFV7KD007235,11762,All-wheel Drive,primary,XLE,95a947090a0d0cc75fcaba494ebd04b8,hertzcarsalesmassapequa
0.0,23087,0,Ford,48168,2018,Explorer,SUV,23087,NY,Massapequa Park,Ingot Silver,BLA,https://www.hertzcarsales.com/certified/Ford/2018-Ford-Explorer-6057c7e70a0e0ae75f1d9dd0397d675d.htm,4x4,Automatic,16,V-6 cyl,4,1FM5K8D80JGA45622,11762,4x4,primary,XLT,6057c7e70a0e0ae75f1d9dd0397d675d,hertzcarsalesmassapequa
0.0,23487,0,Toyota,25255,2019,RAV4,SUV,23487,NY,Massapequa Park,Midnight Black,BLA,https://www.hertzcarsales.com/certified/Toyota/2019-Toyota-RAV4-d16c9def0a0d0c143f7ec3c5eb14b450.htm,All-wheel Drive,Automatic,25,I-4 cyl,4,JTMP1RFV8KD500261,11762,All-wheel Drive,primary,XLE,d16c9def0a0d0c143f7ec3c5eb14b450,hertzcarsalesmassapequa
0.0,23587,0,Ford,45262,2018,Explorer,SUV,23587,NY,Massapequa Park,Magnetic,BLA,https://www.hertzcarsales.com/certified/Ford/2018-Ford-Explorer-3724bf3a0a0e0ae84bdff406970210b1.htm,4x4,Automatic,16,V-6 cyl,4,1FM5K8D88JGA45707,11762,4x4,primary,XLT,3724bf3a0a0e0ae84bdff406970210b1,hertzcarsalesmassapequa
0.0,27387,0,Ford,8204,2020,Edge,SUV,27387,NY,Massapequa Park,null,null,https://www.hertzcarsales.com/certified/Ford/2020-Ford-Edge-76a4e3de0a0e0a1774ba5a3bbac2b088.htm,All-wheel Drive,Automatic,21,I-4 cyl,4,2FMPK4J98LBA44582,11762,All-wheel Drive,primary,SEL,76a4e3de0a0e0a1774ba5a3bbac2b088,hertzcarsalesmassapequa
